ticker,interval,days,p1,p2,p3,GRAD1_BUY_Z_MIN,GRAD1_SELL_Z_MIN,GRAD1_BUY_WIN_DAYS,GRAD1_SELL_WIN_DAYS,SPACING_Z_MIN_12,SPACING_Z_MIN_23,SPACING_WIN_DAYS_12,SPACING_WIN_DAYS_23,MICRO_NRG_MODEL,MICRO_NRG_WIN_DAYS,MICRO_NRG_MIN_12,MICRO_NRG_MIN_23,PHASE_BUY_PORTIONS,PHASE_SELL_PORTIONS,FINAL_PORTION_PCT,COOLDOWN,MACRO_INTERVAL,MACRO_P1,MACRO_P2,MACRO_P3,MACRO_NRG_WIN_DAYS,MACRO_NRG_Z_MIN,MACRO_NRG_Z_MAX,MACRO_DYN_PCT_MIN,MACRO_DYN_PCT_MAX,MACRO_GRAD_WIN_DAYS,MACRO_GRAD_Z_MIN,MACRO_GRAD_Z_MAX,MACRO_MULT_GRAD_MIN,MACRO_MULT_GRAD_MAX,MACRO_BUY_MULT_BULL,MACRO_BUY_MULT_BEAR,MACRO_BUY_MULT_REV,MACRO_BUY_MULT_ROLL,MACRO_SELL_MULT_BULL,MACRO_SELL_MULT_BEAR,MACRO_SELL_MULT_REV,MACRO_SELL_MULT_ROLL,TAX_MODE,ANNUAL_INCOME_BASE,PROFIT_SWEEP_INTERVAL,PROFIT_SWEEP_SHARE,preTaxEdge,postTaxEdge,netPctVsHodl,simValue,simPostTax,benchValue,benchPostTax,trades,fees,tax,lockedProfit,potentialProfit,potentialProfitBench,netAfterTaxProfit,netAfterTaxProfitBench,grossEdgeVsBench,netEdgeVsBench,edgeVsBench,sharpe,sortino,mdd,cagr,sharpe4w,sortino4w,sharpe13w,sortino13w,sharpe4wAbs,sortino4wAbs,sharpe13wAbs,sortino13wAbs,scoreMetric
LINKUSDT,1h,820,12,20,55,0.2,0.8,90,90,0.0,0.0,7,7,sum,7,-12.0,-12.0,5,8,0.5,10,1d,7,7,180,90,0.0,0.8,3.5,15.0,90,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,income,36000.0,month,0.0,993.063231,880.574957,5.392323,10703.051712,10233.582398,9709.988481,9709.988481,52,57.60847,469.469314,0.0,703.051712,-290.011519,590.563438,-290.011519,993.063231,880.574957,993.063231,0.457784,0.595998,0.509592,0.072325,1.203425,1.677414,0.627039,0.787769,0.477894,0.679972,0.154097,0.195315,993.063231
LINKUSDT,1h,820,12,20,55,0.2,1.0,90,90,0.0,0.0,7,7,sum,7,-12.0,-12.0,5,8,0.5,10,1d,7,7,180,90,0.0,0.8,3.5,15.0,90,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,income,36000.0,month,0.0,1201.632834,1055.773424,7.12331,10911.621315,10401.661016,9709.988481,9709.988481,51,56.683431,509.960299,0.0,911.621315,-290.011519,765.761905,-290.011519,1201.632834,1055.773424,1201.632834,0.487054,0.636515,0.509592,0.093492,1.285347,1.763535,0.615716,0.776657,0.463697,0.653657,0.157467,0.199467,1201.632834
LINKUSDT,1h,820,12,20,55,0.4,0.8,90,90,0.0,0.0,7,7,sum,7,-12.0,-12.0,5,8,0.5,10,1d,7,7,180,90,0.0,0.8,3.5,15.0,90,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,income,36000.0,month,0.0,1475.788011,1286.063772,9.436868,11185.776492,10626.307229,9709.988481,9709.988481,50,58.070217,559.469263,0.0,1185.776492,-290.011519,996.052253,-290.011519,1475.788011,1286.063772,1475.788011,0.514178,0.665292,0.475172,0.121323,0.936291,1.29658,0.759557,1.012235,0.489118,0.694189,0.194501,0.245694,1475.788011
LINKUSDT,1h,820,12,20,55,0.4,1.0,90,90,0.0,0.0,7,7,sum,7,-12.0,-12.0,5,8,0.5,10,1d,7,7,180,90,0.0,0.8,3.5,15.0,90,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,income,36000.0,month,0.0,1683.809964,1460.802213,11.163542,11393.798445,10793.967169,9709.988481,9709.988481,49,57.187145,599.831276,0.0,1393.798445,-290.011519,1170.790694,-290.011519,1683.809964,1460.802213,1683.809964,0.542245,0.70416,0.475172,0.142447,0.981943,1.377782,0.753211,1.006196,0.477381,0.668455,0.202188,0.250669,1683.809964
LINKUSDT,1h,820,12,20,55,0.2,0.8,90,90,0.0,0.0,7,7,sum,7,-12.0,-12.0,8,5,0.5,3,1d,7,7,180,90,0.0,0.8,3.5,15.0,90,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,income,36000.0,month,0.0,1414.037396,1234.193256,10.245733,11124.025877,10704.847936,9709.988481,9709.988481,59,70.634865,419.177941,0.0,1124.025877,-290.011519,944.181737,-290.011519,1414.037396,1234.193256,1414.037396,0.474528,0.590054,0.419973,0.115054,0.61949,0.81652,0.408796,0.529356,0.656342,0.939401,0.255783,0.338729,1414.037396
LINKUSDT,1h,820,12,20,55,0.2,1.0,90,90,0.0,0.0,7,7,sum,7,-12.0,-12.0,8,5,0.5,3,1d,7,7,180,90,0.0,0.8,3.5,15.0,90,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,income,36000.0,month,0.0,1702.893007,1476.831969,12.83368,11412.881488,10956.137319,9709.988481,9709.988481,60,72.998694,456.744169,0.0,1412.881488,-290.011519,1186.82045,-290.011519,1702.893007,1476.831969,1702.893007,0.520837,0.647094,0.419678,0.144385,0.665336,0.877011,0.410045,0.52936,0.73554,1.045049,0.259584,0.342138,1702.893007
LINKUSDT,1h,820,12,20,55,0.4,0.8,90,90,0.0,0.0,7,7,sum,7,-12.0,-12.0,8,5,0.5,3,1d,7,7,180,90,0.0,0.8,3.5,15.0,90,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,income,36000.0,month,0.0,1768.432143,1531.884843,13.02163,11478.420624,10974.387221,9709.988481,9709.988481,57,69.602195,504.033403,0.0,1478.420624,-290.011519,1241.873324,-290.011519,1768.432143,1531.884843,1768.432143,0.531428,0.653041,0.389566,0.151041,0.511852,0.687411,0.441046,0.57935,0.725856,1.031387,0.369488,0.487133,1768.432143
LINKUSDT,1h,820,12,20,55,0.4,1.0,90,90,0.0,0.0,7,7,sum,7,-12.0,-12.0,8,5,0.5,3,1d,7,7,180,90,0.0,0.8,3.5,15.0,90,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,income,36000.0,month,0.0,2062.37991,1778.800967,15.650474,11772.368391,11229.647704,9709.988481,9709.988481,58,72.037653,542.720687,0.0,1772.368391,-290.011519,1488.789448,-290.011519,2062.37991,1778.800967,2062.37991,0.580023,0.712248,0.389318,0.180901,0.574417,0.74225,0.441354,0.578315,0.792059,1.133165,0.370155,0.489212,2062.37991
LINKUSDT,1h,820,12,20,55,0.2,0.8,90,90,0.0,0.0,7,7,sum,7,-12.0,-12.0,8,5,0.5,5,1d,7,7,180,90,0.0,0.8,3.5,15.0,90,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,income,36000.0,month,0.0,1128.133167,994.033703,7.160824,10838.121648,10405.303662,9709.988481,9709.988481,56,65.500087,432.817986,0.0,838.121648,-290.011519,704.022184,-290.011519,1128.133167,994.033703,1128.133167,0.428324,0.531739,0.426293,0.086032,0.587486,0.81511,0.313628,0.404478,0.653086,0.918632,0.320051,0.436437,1128.133167
LINKUSDT,1h,820,12,20,55,0.2,1.0,90,90,0.0,0.0,7,7,sum,7,-12.0,-12.0,8,5,0.5,5,1d,7,7,180,90,0.0,0.8,3.5,15.0,90,0.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,income,36000.0,month,0.0,1272.330084,1115.159114,8.483992,10982.318565,10533.783139,9709.988481,9709.988481,57,67.455799,448.535426,0.0,982.318565,-290.011519,825.147595,-290.011519,1272.330084,1115.159114,1272.330084,0.451119,0.558796,0.425256,0.100668,0.626163,0.83313,0.312967,0.406857,0.656257,0.922856,0.319103,0.435342,1272.330084
